original,cleaned
access to info,access to info
checking knowledge/grammar,checking knowledgegrammar
speeds up work,speed up work
personalized answer,personalized answer
reucing teaching load,reucing teaching load
writing support,writing support
no benefit ,no benefit
starting point ,starting point
good quotes,good quote
"new categories (below): access to info, teaching, feedback & study support, starting point, speeding up work, no benefit/other",new category below access to info teaching feedback study support starting point speeding up work no benefitother
"access to info (search for answers, provides info, accessibility (easy and fast)), teaching you (tutoring/explaining, step by step, personalized answers), feedback & studying (writing support and checking grammar, helping you study/review), starting point (creativity), speeding up work (productivity, reducing teaching load), no benefit/other ",access to info search for answer provides info accessibility easy and fast teaching you tutoringexplaining step by step personalized answer feedback studying writing support and checking grammar helping you studyreview starting point creativity speeding up work productivity reducing teaching load no benefitother
"access to info: ease of obtaining info, 24/7 availability, gives summaries (levels: access to information, time access)",access to info ease of obtaining info 247 availability give summary level access to information time access
"checking knowledge/grammar: giving feedback, definitions, practice problems or for revieiwing, help when stuck in how to approach a problem, do further research (levels for personalization?)",checking knowledgegrammar giving feedback definition practice problem or for revieiwing help when stuck in how to approach a problem do further research level for personalization
speeds up work: making tasks faster to accomplish,speed up work making task faster to accomplish
"personalized answer: specific to learner, follow up, customized support",personalized answer specific to learner follow up customized support
